market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,prev_closing_price,change_price,change_rate
KRW-THETA,2021-02-06T00:00:00,2021-02-06T09:00:00,2580.0,2595.0,2320.0,2430.0,1612655973059,2447935649.379699,997902.48772824,2565.0,-135.0,-0.0526315789
KRW-THETA,2021-02-05T00:00:00,2021-02-05T09:00:00,2295.0,2740.0,2295.0,2565.0,1612569593902,9163189931.885387,3569553.06444208,2295.0,270.0,0.1176470588
KRW-THETA,2021-02-04T00:00:00,2021-02-04T09:00:00,2295.0,2355.0,2200.0,2295.0,1612483162470,2363891672.9571404,1031575.86470732,2295.0,,0.0
KRW-THETA,2021-02-03T00:00:00,2021-02-03T09:00:00,2300.0,2415.0,2250.0,2295.0,1612396784790,3539345334.0977697,1515267.22808329,2300.0,-5.0,-0.002173913
KRW-THETA,2021-02-02T00:00:00,2021-02-02T09:00:00,2220.0,2450.0,2165.0,2300.0,1612310381419,7017784903.420589,2995952.92564704,2220.0,80.0,0.036036036
KRW-THETA,2021-02-01T00:00:00,2021-02-01T09:00:00,2100.0,2240.0,2055.0,2220.0,1612223834195,2404833361.687449,1135844.9146688,2100.0,120.0,0.0571428571
KRW-THETA,2021-01-31T00:00:00,2021-01-31T09:00:00,2175.0,2235.0,2085.0,2100.0,1612137593051,1557301728.083103,720779.41030348,2160.0,-60.0,-0.0277777778
KRW-THETA,2021-01-30T00:00:00,2021-01-30T09:00:00,2250.0,2275.0,2150.0,2160.0,1612051115081,2166199316.676451,982155.46991515,2250.0,-90.0,-0.04
KRW-THETA,2021-01-29T00:00:00,2021-01-29T09:00:00,2200.0,2320.0,2190.0,2250.0,1611964766266,4068655605.108423,1814550.88162961,2205.0,45.0,0.0204081633
KRW-THETA,2021-01-28T00:00:00,2021-01-28T09:00:00,2260.0,2330.0,2175.0,2205.0,1611878400094,5934149127.482833,2642303.03727539,2265.0,-60.0,-0.0264900662
KRW-THETA,2021-01-27T00:00:00,2021-01-27T09:00:00,2525.0,2530.0,2220.0,2265.0,1611791971342,5034021836.9019985,2159579.52598321,2525.0,-260.0,-0.102970297
KRW-THETA,2021-01-26T00:00:00,2021-01-26T09:00:00,2315.0,2695.0,2300.0,2525.0,1611705597949,12094757276.862562,4789958.42493486,2325.0,200.0,0.0860215054
KRW-THETA,2021-01-25T00:00:00,2021-01-25T09:00:00,2150.0,2555.0,2130.0,2325.0,1611619197466,8870525541.973757,3732986.58286108,2155.0,170.0,0.0788863109
KRW-THETA,2021-01-24T00:00:00,2021-01-24T09:00:00,2145.0,2205.0,2100.0,2155.0,1611532767871,1459948854.882065,679652.21744464,2145.0,10.0,0.0046620047
KRW-THETA,2021-01-23T00:00:00,2021-01-23T09:00:00,2095.0,2235.0,2065.0,2145.0,1611446372036,2045630079.0812128,944031.75727487,2095.0,50.0,0.0238663484
KRW-THETA,2021-01-22T00:00:00,2021-01-22T09:00:00,1965.0,2200.0,1740.0,2095.0,1611359962124,3308342003.357528,1642329.39246468,1965.0,130.0,0.0661577608
KRW-THETA,2021-01-21T00:00:00,2021-01-21T09:00:00,2240.0,2250.0,1935.0,1965.0,1611273588762,2511933327.6730065,1179706.2107204,2240.0,-275.0,-0.1227678571
KRW-THETA,2021-01-20T00:00:00,2021-01-20T09:00:00,2210.0,2255.0,2070.0,2240.0,1611187182337,2845870212.7672873,1306101.43345203,2215.0,25.0,0.0112866817
KRW-THETA,2021-01-19T00:00:00,2021-01-19T09:00:00,2235.0,2290.0,2185.0,2215.0,1611100795606,3273236132.447226,1458723.713629,2240.0,-25.0,-0.0111607143
KRW-THETA,2021-01-18T00:00:00,2021-01-18T09:00:00,2220.0,2295.0,2170.0,2240.0,1611014334950,3274555548.2098184,1464317.56753185,2220.0,20.0,0.009009009
KRW-THETA,2021-01-17T00:00:00,2021-01-17T09:00:00,2280.0,2350.0,2175.0,2220.0,1610927829195,4460469623.950247,1986369.31111593,2280.0,-60.0,-0.0263157895
KRW-THETA,2021-01-16T00:00:00,2021-01-16T09:00:00,2290.0,2485.0,2215.0,2280.0,1610841587580,4938352243.509085,2122442.87457699,2295.0,-15.0,-0.0065359477
KRW-THETA,2021-01-15T00:00:00,2021-01-15T09:00:00,2395.0,2400.0,2110.0,2295.0,1610755190167,5158233491.483041,2268415.26859766,2395.0,-100.0,-0.0417536534
KRW-THETA,2021-01-14T00:00:00,2021-01-14T09:00:00,2330.0,2455.0,2205.0,2395.0,1610668792403,5395459010.504125,2316114.87817639,2325.0,70.0,0.0301075269
KRW-THETA,2021-01-13T00:00:00,2021-01-13T09:00:00,2055.0,2380.0,2015.0,2325.0,1610582386653,5664241906.593511,2520519.50419971,2065.0,260.0,0.1259079903
KRW-THETA,2021-01-12T00:00:00,2021-01-12T09:00:00,2060.0,2260.0,1930.0,2065.0,1610495982409,5636648726.451498,2650506.94563562,2070.0,-5.0,-0.0024154589
KRW-THETA,2021-01-11T00:00:00,2021-01-11T09:00:00,2265.0,2270.0,1685.0,2070.0,1610409583601,5324928530.205382,2750039.63868473,2270.0,-200.0,-0.0881057269
KRW-THETA,2021-01-10T00:00:00,2021-01-10T09:00:00,2320.0,2390.0,2075.0,2270.0,1610323139515,6142546846.005733,2726914.9556518,2320.0,-50.0,-0.0215517241
KRW-THETA,2021-01-09T00:00:00,2021-01-09T09:00:00,2310.0,2560.0,2195.0,2320.0,1610236774177,7707069705.397017,3229574.0397235,2310.0,10.0,0.0043290043
KRW-THETA,2021-01-08T00:00:00,2021-01-08T09:00:00,2270.0,2335.0,2055.0,2310.0,1610150398998,6501920572.096331,2918380.07760504,2255.0,55.0,0.0243902439
KRW-THETA,2021-01-07T00:00:00,2021-01-07T09:00:00,2415.0,2425.0,2165.0,2255.0,1610063967571,8596684658.680119,3681019.2814544,2410.0,-155.0,-0.0643153527
KRW-THETA,2021-01-06T00:00:00,2021-01-06T09:00:00,2395.0,2570.0,2330.0,2410.0,1609977588992,11811585168.934225,4816152.80404001,2390.0,20.0,0.0083682008
